,ClusterNo2,Date,00:00:00,01:00:00,02:00:00,03:00:00,04:00:00,05:00:00,06:00:00,07:00:00,08:00:00,09:00:00,10:00:00,11:00:00,12:00:00,13:00:00,14:00:00,15:00:00,16:00:00,17:00:00,18:00:00,19:00:00,20:00:00,21:00:00,22:00:00,23:00:00
36,1,2013-06-20 00:00:00,20.967000000000006,0.0,0.0,0.0,0.0,0.0,23.39499995,145.12799995,363.94949800000006,368.4099995,442.2155,338.946999,276.32500000000005,252.97750000000002,237.66150000000002,233.02349999999998,125.1725,0.0,0.0,124.47950004999998,78.85350005,0.0,0.0,176.76499995
37,1,2013-06-21 00:00:00,0.0,0.0,23.73950015,155.038,0.0,0.0,116.3135001,228.65300050000002,339.1014995,330.68000049999995,410.243003,368.05450350000007,269.022002,263.439,243.145,238.3535,124.3125,0.0,16.0195,203.7035,38.186,80.071,198.8265,7.871
38,1,2013-07-15 00:00:00,4.5919998,155.271,0.0,0.0,80.17299994999999,73.96300000000001,0.0,233.7939976,411.053498,386.0555,376.49799900000005,375.275002,385.8160015,363.9695025,298.7040005,279.454,147.74350005000002,0.0,130.81950005,35.68049999999999,0.0,29.619,131.22700015,0.0
39,1,2013-07-22 00:00:00,135.9825,0.0,0.0,154.7525,15.1615,0.0,104.91100015,301.560499,441.8880035,419.28399900000005,424.53349749999995,387.597501,306.39099749999997,255.67950000000002,244.2335,259.51300000000003,115.26750000000001,0.0,0.0,0.0,0.0,135.6310001,42.866499999999995,0.0
40,1,2013-07-31 00:00:00,0.0,81.59799995,109.16700000000002,0.0,0.0,158.46349995,33.065999999999995,229.12600000000003,458.89750100000003,432.258499,430.8765015,395.3144975,317.131999,292.927,290.5635,276.4425,128.97650005,0.0,0.0,0.0,155.0685,44.22950000000001,0.0,114.64350009999998
41,1,2013-08-01 00:00:00,69.4575,0.0,25.824999950000002,153.524,0.0,0.0,49.778500099999995,276.063999,304.8009995,415.25499850000006,393.95349999999996,392.9275005,345.90849850000006,300.2065,310.538,325.15200000000004,230.301501,195.366,42.40099999999999,0.0,185.23150015,42.36400000000001,0.0,93.45649995000002
42,1,2013-08-02 00:00:00,90.4745,0.0,0.0,140.64199995,30.755,0.0,18.921,287.347501,301.1600005,299.1575,272.5485001,317.662,306.422,273.663999,200.4645006,262.4240005,189.35349795,41.36999995,184.92149999999998,7.611000000000001,0.0,121.30000005000001,55.10150015,0.0
43,1,2013-09-28 00:00:00,0.0,113.61399995000001,76.131,0.0,62.399999949999994,119.45400000000001,0.0,94.652,262.08700000000005,252.971,261.787,232.7525,200.6155,201.3,190.6575,180.73,194.197,2.5719999500000004,0.0,0.0,155.94950015,76.226,0.0,122.494
44,1,2013-10-23 00:00:00,7.65,2.7415001,159.1765,0.0,30.22750005,116.457,0.0,275.522,406.78050049999996,399.4704995000001,413.87349800000004,387.4760035,340.4109995,295.1635,283.19100000000003,260.93399999999997,124.76050000000001,0.0,105.4990001,93.31449999999998,51.696,146.9065,0.0,157.41199984999997
45,1,2013-12-16 00:00:00,150.069,0.0,0.0,122.85350005000001,56.4625,0.0,89.73250005,295.55100300000004,412.9444975,366.614999,317.5649995,387.77800099999996,288.13550000000004,281.545,255.3875,250.617,120.65199999999999,0.0,57.685500000000005,110.029,0.0,170.42600004999997,50.1825,0.0
